                               Mean_Low      Mean_Mid     Mean_High      Stdv_Low      Stdv_Mid       Stdv_Hi      Median_L      Median_M      Median_H 
ia_success                       0.9723        0.9527        0.8099        0.1640        0.2123        0.3926        1.0000        1.0000        1.0000 
max_size                        23.3804      302.4418      909.6052      435.1041    10784.0199     6994.1546        0.0300        0.1000        0.1000 
first_size                       0.5518        2.9117       22.2864        4.4739       82.9136      195.9595        0.0100        0.1000        0.1000 
first_status_held                0.5568        0.4078        0.2070        0.4969        0.4915        0.4054        1.0000        0.0000        0.0000 
sec_to_uc                     8132.9105    22429.1786    71723.0013    38069.1907   134130.8648   264038.5251        0.0000     1500.0000     1500.0000 
aircraft_n_Fixed                 0.7562        1.2288        1.0885        1.9661        2.5127        2.2206        0.0000        0.0000        0.0000 
aircraft_n_Rotary                0.8937        1.1247        1.0794        1.0034        1.1523        1.0602        1.0000        1.0000        1.0000 
aircraft_n_total                 1.6499        2.3535        2.1680        2.6556        3.2384        2.8246        1.0000        1.0000        1.0000 
aircraft_hr_Fixed                1.3074        2.2003        2.3874        5.1490        6.7750        6.5906        0.0000        0.0000        0.0000 
aircraft_hr_Rotary               1.6194        2.5534        2.6663        3.0645        3.9358        3.7755        0.7000        1.3000        1.3000 
aircraft_hr_total                2.9269        4.7537        5.0536        7.5068        9.4908        9.1670        0.8000        1.6000        1.6000 
n_firefighters                   6.0131        6.6705        4.9557        6.9284        7.0282        5.8070        4.0000        4.0000        4.0000 
n_non_firefighters               0.9432        1.1141        1.0703        2.0108        1.9543        1.8714        0.0000        1.0000        1.0000 
hr_firefighters                 26.6299       29.1035       22.6757       48.0353       46.6149       36.3997       10.5000       13.0000       13.0000 
hr_non_firefighters              4.0203        4.3931        4.1911       13.3622       11.3580        8.8158        0.0000        1.0000        1.0000 
drop_amount_retardant         3124.8388     4574.7343     7294.1476    15618.6192    27949.3115    55171.6884        0.0000        0.0000        0.0000 
drop_amount_water             1535.1760     7476.1720     4141.8963    14478.0502    42977.7743    27794.7947        0.0000        0.0000        0.0000 
drop_amount_total             4660.0149    12050.9063    11436.0439    25239.8790    56891.9454    70445.0857        0.0000        0.0000        0.0000 
n_fire_past_1                   22.6150       24.8985       23.9727       22.2097       22.1932       19.9140       15.0000       16.0000       16.0000 
n_fire_past_7                  100.3195      100.3438       91.0443       80.8838       66.0783       57.1973       75.0000       85.0000       85.0000 
n_fire_past_30                 317.7766      323.3391      306.2695      149.0799      125.3114      101.0554      320.0000      321.0000      321.0000 
response_time                 7848.9083     7489.9383     9433.0729    58651.7685    46049.3179    32819.3088     1800.0000     1440.0000     1440.0000 
year                          2009.9243     2010.7668     2011.2057        3.7131        3.7105        3.8477     2009.0000     2010.0000     2010.0000 
latitude                        52.4981       56.4488       59.5154        1.0798        1.3216        0.2752       52.7463       56.4326       56.4326 
longitude                     -115.7803     -115.0319     -116.6373        0.9596        2.5938        2.6756     -115.5306     -115.1147     -115.1147 
assessment_size                  0.5518        2.9117       22.2864        4.4739       82.9136      195.9595        0.0100        0.1000        0.1000 
fire_spread_rate                 0.7189        1.2490        1.8152        2.4626        3.2278        2.5933        0.0000        0.2000        0.2000 
temperature                     19.2023       20.2580       21.8971        6.1710        5.5731        4.5298       20.0000       20.5000       20.5000 
relative_humidity               44.1616       47.2726       47.5247       20.2184       18.5505       15.6400       40.0000       43.0000       43.0000 
wind_speed                       7.6426        8.7504        8.8568        8.7213        8.2083        7.0561        5.0000        6.0000        6.0000 
equipment_Transportation         0.2453        0.3234        0.1055        1.2538        1.5662        0.7280        0.0000        0.0000        0.0000 
equipment_Water_Delivery         0.1048        0.1120        0.0130        0.4342        0.5514        0.1244        0.0000        0.0000        0.0000 
equipment_Sustained_Action        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000 
equipment_Fire_Guard_Building        0.1601        0.1507        0.0260        0.9406        0.9255        0.2738        0.0000        0.0000        0.0000 
equipment_Crew_Gear              0.0015        0.0009        0.0000        0.0540        0.0304        0.0000        0.0000        0.0000        0.0000 
equipment_Base_Camp              0.0167        0.0343        0.0091        0.1803        0.2605        0.1299        0.0000        0.0000        0.0000 
equipment_WaterTruck_Transportation        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000 
wstation_dry_bulb_temperature       18.3540       19.6934       22.6641        6.0475        5.4606        3.8915       19.0000       20.5000       20.5000 
wstation_relative_humidity       42.5250       47.9762       48.6157       15.6926       15.0271       13.6042       40.0000       46.4000       46.4000 
wstation_wind_speed_kmh         10.3428       11.6477       10.6510        7.6671        7.2744        5.5969        9.0000       10.0000       10.0000 
wstation_wind_direction        177.4454      177.6328      187.4414      108.0075      115.9785      124.5958      180.0000      135.0000      135.0000 
wstation_precipitation           0.8203        0.8096        1.3619        3.2042        3.1589        3.9739        0.0000        0.0000        0.0000 
wstation_fine_fuel_moisture_code       84.0492       83.5578       83.7471       12.6391       11.2104       11.2533       88.3000       87.3000       87.3000 
wstation_duff_moisture_code       31.5699       29.2369       36.7951       24.1650       17.8907       22.0126       26.8000       25.2000       25.2000 
wstation_drought_code          211.7099      288.5582      351.8958      120.5366      130.1026      113.7120      192.3000      279.5000      279.5000 
wstation_build_up_index         43.3666       44.5604       56.1630       28.8395       24.5526       28.6694       38.3500       39.8000       39.8000 
wstation_initial_spread_index        6.2219        5.9121        5.4594        5.2111        5.5597        3.7640        5.5000        4.9000        4.9000 
wstation_fire_weather_index       13.4129       13.0417       14.3712       10.4200        9.8049        9.9975       12.2000       11.8000       11.8000 
wstation_daily_severity_rating        3.7717        3.5271        4.0376        5.1630        4.5931        4.6280        2.2900        2.1300        2.1300 
fuelgrid_C                      38.5233       32.5050       45.7852       26.0366       26.5562       23.4252       40.0000       31.0000       31.0000 
fuelgrid_D                       8.7598       16.2726        6.0117       14.4406       19.7124       11.2141        1.0000        8.0000        8.0000 
fuelgrid_M                       6.6157        7.0697        4.8164       11.7938       12.3591        9.6173        0.0000        1.0000        1.0000 
fuelgrid_Nonfuel                 7.3166        8.9530        8.6406       12.3961       15.9886       17.4903        2.0000        1.0000        1.0000 
fuelgrid_O                      15.7336       11.5629       10.4062       18.2826       15.6447       14.6051        9.0000        5.0000        5.0000 
fuelgrid_S                       0.2649        0.1460        0.0000        2.4607        1.9238        0.0000        0.0000        0.0000        0.0000 
fuelgrid_Unclassified            0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000 
fuelgrid_Water                   1.2817        1.9728        2.9010        4.6837        6.9713        8.0280        0.0000        0.0000        0.0000 
fbp_CFB                          0.1924        0.2176        0.2707        0.3353        0.3407        0.3540        0.0000        0.0000        0.0000 
fbp_CFC                          0.1551        0.1719        0.2152        0.2748        0.2723        0.2849        0.0000        0.0000        0.0000 
fbp_HFI                       2942.3099     2924.2631     3281.2532     6037.3873     5508.0365     5129.1419      647.4419      709.6191      709.6191 
fbp_RAZ                        151.3755      166.7153      162.4219      108.9218      104.4702       99.6185      135.0000      180.0000      180.0000 
fbp_ROS                          5.3797        4.7267        4.5732        7.7261        6.7399        5.4002        2.2758        2.2384        2.2384 
fbp_SFC                          1.1587        1.2591        1.5209        1.0826        0.9665        1.0947        0.9006        1.1405        1.1405 
fbp_TFC                          1.3138        1.4311        1.7360        1.2600        1.1672        1.3155        0.9267        1.1797        1.1797 
fbp_HFI_class                    2.9338        3.0069        3.1732        1.5383        1.5307        1.5986        3.0000        3.0000        3.0000 
test_i                           0.3042        0.3003        0.2891        0.4602        0.4584        0.4536        0.0000        0.0000        0.0000 
