assessment_result,ia_success,max_size,first_size,first_status_held,sec_to_uc,aircraft_n_Fixed,aircraft_n_Rotary,aircraft_n_total,aircraft_hr_Fixed,aircraft_hr_Rotary,aircraft_hr_total,n_firefighters,n_non_firefighters,hr_firefighters,hr_non_firefighters,drop_amount_retardant,drop_amount_water,drop_amount_total,n_fire_past_1,n_fire_past_7,n_fire_past_30,response_time,general_cause,year,month,latitude,longitude,assessment_size,fire_spread_rate,fire_position_on_slope,temperature,relative_humidity,wind_direction,wind_speed,weather_conditions_over_fire,equipment_Transportation,equipment_Water_Delivery,equipment_Sustained_Action,equipment_Fire_Guard_Building,equipment_Crew_Gear,equipment_Base_Camp,equipment_WaterTruck_Transportation,wstation_dry_bulb_temperature,wstation_relative_humidity,wstation_wind_speed_kmh,wstation_wind_direction,wstation_precipitation,wstation_fine_fuel_moisture_code,wstation_duff_moisture_code,wstation_drought_code,wstation_build_up_index,wstation_initial_spread_index,wstation_fire_weather_index,wstation_daily_severity_rating,fuelgrid_C,fuelgrid_D,fuelgrid_M,fuelgrid_Nonfuel,fuelgrid_O,fuelgrid_S,fuelgrid_Unclassified,fuelgrid_Water,fuel_type2,grouped_fuel_type2,fbp_CFB,fbp_CFC,fbp_FD,fbp_HFI,fbp_RAZ,fbp_ROS,fbp_SFC,fbp_TFC,fbp_HFI_class,fuel_type,grouped_fuel_type,test_i
Immediate Action,1,0.04,0.04,TRUE,0,0,0,0,0,0,0,0,2,0,3.5,0,0,0,4,24,28,11100,other,2005,4,55.949726,-113.812317,0.04,0,Flat,11.5,31,SE,20,Clear,0,0,0,0,0,0,0,11.5,30.61,19,315,0,86.7,8,117.6,13.7,7,8.7,1.25,21,0,8,47,1,0,0,1,C-2,C,0,0,S,655.5445147097262,134.99999999999994,2.998161291347949,0.7288294958218638,0.7288294958218638,3,O1a,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,30,287700,other,2005,4,54.833012,-111.965503,0.01,0.1,Flat,2,94,SE,17,Cloudy,0,0,0,0,0,0,0,10.5,52.12,6,135,0,85.1,13.5,161.8,22.4,2.9,5.1,0.48,17,25,0,1,2,0,0,34,C-2,C,0,0,S,491.4296753416016,315,1.4426509605793896,1.1354783399218438,1.1354783399218438,2,D1,D,0
Immediate Action,1,2,2,TRUE,0,0,1,1,0,0.5,0.5,2,4,19.75,11.5,0,0,0,1,24,31,1440,other,2005,4,51.1207,-115.002583,2,0,Flat,12,35,W,20,Clear,0,0,0,0,0,0,0,7,28,21,90,0.4,88.9,9.9,66.6,14.5,10.5,12.5,2.38,0,0,0,4,77,0,0,0,O-1,O,0,0,S,1992.4769413511651,270,18.975970870011096,0.35,0.35,3,O1b,O,0
Immediate Action,1,0.1,0.1,TRUE,0,0,0,0,0,0,0,2,0,5,0,0,0,0,4,22,36,2820,other,2005,4,55.338333,-115.2323,0.1,0,Flat,7,75,CLM,0,Clear,0,0,0,0,0,0,0,7.5,53,16,180,0,65.7,10,31.8,11.2,1.2,0.8,0.02,0,50,30,0,0,0,0,0,M-1/M-2,M,0,0,S,23.3021095017403,0,0.17608466672101702,0.44111562798479265,0.44111562798479265,2,O1a,O,0
Immediate Action,1,2,2,TRUE,0,0,0,0,0,0,0,9,2,20.75,11.5,0,0,0,2,17,40,1260,other,2005,4,55.915417,-113.912683,2,2,Flat,12,39,NW,15,Cloudy,0,1,0,0,0,0,0,9,39.02,33,90,0,85.9,8.9,118.5,15,12.6,14.7,3.16,7,42,5,0,24,0,0,0,D-1/D-2,D,0,0,S,299.14830113301554,270,2.769337858613756,0.3600719936266159,0.3600719936266159,2,O1a,O,0
Immediate Action,1,0.5,0.5,FALSE,2820,0,0,0,0,0,0,6,3,18.5,6.5,0,0,0,5,18,45,4800,other,2005,4,52.401087,-115.137283,0.5,0,Flat,12,25,NE,5,Clear,0,0,0,0,0,0,0,8.1,35,4,270,0,86.9,7.4,47.4,10.7,3.3,3.7,0.27,17,42,0,18,2,0,0,0,D-1/D-2,D,0,0,S,26.66808097551149,90,0.3332501803888303,0.2667473522384459,0.2667473522384459,2,O1b,O,0
Immediate Action,1,0.02,0.01,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,23,52,1980,other,2005,4,53.599283,-116.187967,0.01,0,Flat,15.1,11,W,4,Clear,0,0,0,0,0,0,0,10,42.35,9,135,0,86.4,7.6,62.8,11.6,4,4.7,0.42,0,22,0,59,0,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,1
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,9,0,4.5,0,0,0,0,17,58,90,960,other,2005,4,55.947967,-113.811517,0.01,0,Flat,18,29,NE,8,Clear,0,1,0,0,0,0,0,18,28.97,8,270,0,90.6,17.8,131.7,26.6,7,12.3,2.31,10,0,9,52,4,0,0,4,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,2,0,1,0,0,0,17,58,90,1800,other,2005,4,54.109667,-115.812033,0.01,0,Upper 1/3,18,25,N,10,Clear,0,0,0,0,0,0,0,17.6,35.07,20,315,0,91.4,25.6,61.2,25.6,14.3,20.7,5.81,10,6,6,5,51,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1b,O,0
Immediate Action,1,3.4,2,FALSE,3300,0,1,1,0,0.5,0.5,10,4,20,15.75,0,0,0,17,58,90,1200,other,2005,4,55.12325,-117.802233,2,1.5,Flat,23,24,SW,15,Clear,0,0,0,0,0,0,0,19,38.33,10,315,0,89.2,13.6,56.4,17,6.3,8.9,1.3,0,13,0,64,1,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
