id_l,id_t,a,pi_l,pi_t
0,0,1,0.1,0.1
0,0,2,0.1,0.1
0,0,3,0.1,0.1
0,0,4,0.1,0.1
0,0,5,0.1,0.1
0,0,6,0.1,0.1
0,0,7,0.1,0.1
0,0,8,0.1,0.1
0,0,9,0.1,0.1
0,0,10,0.1,0.1
0,1,1,0.1,0.19
0,1,2,0.1,0.17
0,1,3,0.1,0.15
0,1,4,0.1,0.13
0,1,5,0.1,0.11
0,1,6,0.1,0.09
0,1,7,0.1,0.07
0,1,8,0.1,0.05
0,1,9,0.1,0.03
0,1,10,0.1,0.01
0,2,1,0.1,0.15651162790697676
0,2,2,0.1,0.17744186046511629
0,2,3,0.1,0.15651162790697676
0,2,4,0.1,0.13558139534883723
0,2,5,0.1,0.11465116279069769
0,2,6,0.1,0.09372093023255815
0,2,7,0.1,0.0727906976744186
0,2,8,0.1,0.05186046511627907
0,2,9,0.1,0.030930232558139537
0,2,10,0.1,0.01
0,3,1,0.1,0.12538461538461537
0,3,2,0.1,0.14846153846153848
0,3,3,0.1,0.17153846153846153
0,3,4,0.1,0.14846153846153845
0,3,5,0.1,0.12538461538461537
0,3,6,0.1,0.1023076923076923
0,3,7,0.1,0.07923076923076923
0,3,8,0.1,0.05615384615384615
0,3,9,0.1,0.03307692307692307
0,3,10,0.1,0.01
0,4,1,0.1,0.09181818181818181
0,4,2,0.1,0.1190909090909091
0,4,3,0.1,0.14636363636363636
0,4,4,0.1,0.17363636363636364
0,4,5,0.1,0.14636363636363636
0,4,6,0.1,0.11909090909090908
0,4,7,0.1,0.09181818181818181
0,4,8,0.1,0.06454545454545454
0,4,9,0.1,0.03727272727272727
0,4,10,0.1,0.01
0,5,1,0.1,0.046
0,5,2,0.1,0.08199999999999999
0,5,3,0.1,0.11800000000000001
0,5,4,0.1,0.154
0,5,5,0.1,0.19
0,5,6,0.1,0.154
0,5,7,0.1,0.11800000000000001
0,5,8,0.1,0.08199999999999999
0,5,9,0.1,0.046
0,5,10,0.1,0.01
0,6,1,0.1,0.01
0,6,2,0.1,0.046
0,6,3,0.1,0.08199999999999999
0,6,4,0.1,0.11800000000000001
0,6,5,0.1,0.154
0,6,6,0.1,0.19
0,6,7,0.1,0.154
0,6,8,0.1,0.11800000000000001
0,6,9,0.1,0.08199999999999999
0,6,10,0.1,0.046
0,7,1,0.1,0.01
0,7,2,0.1,0.03727272727272727
0,7,3,0.1,0.06454545454545454
0,7,4,0.1,0.09181818181818181
0,7,5,0.1,0.11909090909090908
0,7,6,0.1,0.14636363636363636
0,7,7,0.1,0.17363636363636364
0,7,8,0.1,0.14636363636363636
0,7,9,0.1,0.1190909090909091
0,7,10,0.1,0.09181818181818181
0,8,1,0.1,0.01
0,8,2,0.1,0.03307692307692307
0,8,3,0.1,0.05615384615384615
0,8,4,0.1,0.07923076923076923
0,8,5,0.1,0.1023076923076923
0,8,6,0.1,0.12538461538461537
0,8,7,0.1,0.14846153846153845
0,8,8,0.1,0.17153846153846153
