a,p,id
1,0.5703484474872088,1
2,0.345933820120493,1
3,0.07718826868424372,1
4,0.006335998928727276,1
5,1.9133058901417684e-4,1
6,2.125490851018352e-6,1
7,8.686395302658485e-9,1
8,1.3059467143713048e-11,1
9,7.222987159646858e-15,1
10,1.4696494167581716e-18,1
1,0.25702141884622803,2
2,0.423756680277303,2
3,0.25702141884622803,2
4,0.057349230348735535,2
5,0.004707511494257611,2
6,1.4215452955706857e-4,2
7,1.5791941767449383e-6,2
8,6.45380565730999e-9,2
9,9.702904369060223e-12,2
10,5.3665247515663356e-15,2
1,0.05423868358973588,3
2,0.24308091543364382,3
3,0.40077267577670767,3
4,0.24308091543364382,3
5,0.05423868358973588,3
6,0.0044521822678255515,3
7,1.344442550075757e-4,3
8,1.4935407634657243e-6,3
9,6.1037597343135395e-9,3
10,9.17663160908535e-12,3
1,0.0044324482005845284,4
2,0.053998273434752005,4
3,0.24200347186965432,4
4,0.3989962716547792,4
5,0.24200347186965432,4
6,0.053998273434752005,4
7,0.0044324482005845284,4
8,1.3384833781261672e-4,4
9,1.4869207214098458e-6,4
10,6.0767051355181444e-9,4
1,1.338304256458433e-4,5
2,0.004431855031086267,5
3,0.05399104715092176,5
4,0.24197108591239314,5
5,0.3989428762381707,5
6,0.24197108591239314,5
7,0.05399104715092176,5
8,0.004431855031086267,5
9,1.338304256458433e-4,5
10,1.4867217352111675e-6,5
1,1.4867217352111675e-6,6
2,1.338304256458433e-4,6
3,0.004431855031086267,6
4,0.05399104715092176,6
5,0.24197108591239314,6
6,0.3989428762381707,6
7,0.24197108591239314,6
8,0.05399104715092176,6
9,0.004431855031086267,6
10,1.338304256458433e-4,6
1,6.0767051355181444e-9,7
2,1.4869207214098458e-6,7
3,1.3384833781261672e-4,7
4,0.0044324482005845284,7
5,0.053998273434752005,7
6,0.24200347186965432,7
7,0.3989962716547792,7
8,0.24200347186965432,7
9,0.053998273434752005,7
10,0.0044324482005845284,7
1,9.17663160908535e-12,8
2,6.1037597343135395e-9,8
3,1.4935407634657243e-6,8
4,1.344442550075757e-4,8
5,0.0044521822678255515,8
6,0.05423868358973588,8
7,0.24308091543364382,8
8,0.40077267577670767,8
9,0.24308091543364382,8
10,0.05423868358973588,8
1,5.3665247515663356e-15,9
2,9.702904369060223e-12,9
3,6.45380565730999e-9,9
4,1.5791941767449383e-6,9
5,1.4215452955706857e-4,9
6,0.004707511494257611,9
7,0.057349230348735535,9
8,0.25702141884622803,9
9,0.423756680277303,9
10,0.25702141884622803,9
1,1.4696494167581716e-18,10
2,7.222987159646858e-15,10
3,1.3059467143713048e-11,10
4,8.686395302658485e-9,10
5,2.125490851018352e-6,10
6,1.9133058901417684e-4,10
7,0.006335998928727276,10
8,0.07718826868424372,10
9,0.345933820120493,10
10,0.5703484474872088,10
