a,p,id
1,0.7213349068959932,1
2,0.26536428244635235,1
3,0.013211709672545702,1
4,8.901979954091776e-5,1
5,8.11755497786411e-8,1
6,1.0017858694810603e-11,1
7,1.673152784796876e-16,1
8,3.781876441848622e-22,1
9,1.1568847794126817e-28,1
10,4.789430934579018e-36,1
1,0.20971374498837494,2
2,0.5700610621799937,2
3,0.20971374498837494,2
4,0.010441032559417005,2
5,7.035112400107748e-5,2
6,6.415192123307203e-8,2
7,7.916976031157517e-12,2
8,1.3222696483593945e-16,2
9,2.988764970145237e-22,2
10,9.142701398019982e-29,2
1,0.010333143867851627,3
2,0.2075467426903441,3
3,0.5641705392110276,3
4,0.2075467426903441,3
5,0.010333143867851627,3
6,6.962417571550928e-5,3
7,6.34890302015716e-8,3
8,7.835168778829233e-12,3
9,1.3086064458508034e-16,3
10,2.957881631721531e-22,3
1,6.96193285271467e-5,4
2,0.010332424481313971,4
3,0.20753229342548,4
4,0.5641312620369129,4
5,0.20753229342548,4
6,0.010332424481313971,4
7,6.96193285271467e-5,4
8,6.348461013792013e-8,4
9,7.834623299639954e-12,4
10,1.3085153415487368e-16,4
1,6.348460610762468e-8,5
2,6.961932410739107e-5,5
3,0.010332423825364076,5
4,0.20753228025037415,5
5,0.5641312262232621,5
6,0.20753228025037415,5
7,0.010332423825364076,5
8,6.961932410739107e-5,5
9,6.348460610762468e-8,5
10,7.834622802261982e-12,5
1,7.834622802261982e-12,6
2,6.348460610762468e-8,6
3,6.961932410739107e-5,6
4,0.010332423825364076,6
5,0.20753228025037415,6
6,0.5641312262232621,6
7,0.20753228025037415,6
8,0.010332423825364076,6
9,6.961932410739107e-5,6
10,6.348460610762468e-8,6
1,1.3085153415487368e-16,7
2,7.834623299639954e-12,7
3,6.348461013792013e-8,7
4,6.96193285271467e-5,7
5,0.010332424481313971,7
6,0.20753229342548,7
7,0.5641312620369129,7
8,0.20753229342548,7
9,0.010332424481313971,7
10,6.96193285271467e-5,7
1,2.957881631721531e-22,8
2,1.3086064458508034e-16,8
3,7.835168778829233e-12,8
4,6.34890302015716e-8,8
5,6.962417571550928e-5,8
6,0.010333143867851627,8
7,0.2075467426903441,8
8,0.5641705392110276,8
9,0.2075467426903441,8
10,0.010333143867851627,8
1,9.142701398019982e-29,9
2,2.988764970145237e-22,9
3,1.3222696483593945e-16,9
4,7.916976031157517e-12,9
5,6.415192123307203e-8,9
6,7.035112400107748e-5,9
7,0.010441032559417005,9
8,0.20971374498837494,9
9,0.5700610621799937,9
10,0.20971374498837494,9
1,4.789430934579018e-36,10
2,1.1568847794126817e-28,10
3,3.781876441848622e-22,10
4,1.673152784796876e-16,10
5,1.0017858694810603e-11,10
6,8.11755497786411e-8,10
7,8.901979954091776e-5,10
8,0.013211709672545702,10
9,0.26536428244635235,10
10,0.7213349068959932,10
